platform,platform_label,platform_status,workload,workload_label,model_active_ratio,backend,backend_label,latency_ms,ideal_latency_ms,energy_j_per_frame,latency_source,ideal_source,active_ratio_source,energy_source
4070-laptop,RTX 4070 Laptop,measured,yolov8n,YOLOv8n,0.477779588,wiseconv,WISEConv,1.963970288,1.455980806,,logs/yolov8_mot16/4070-laptop-yolov8n-full-r3/summary.json,logs/yolov8_mot16/4070-laptop-yolov8n-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8n-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,yolov8m,YOLOv8m,0.493417637,dense,Dense,12.504274410,6.170029126,,logs/yolov8_mot16/4070-laptop-yolov8m-full-r3/summary.json,logs/yolov8_mot16/4070-laptop-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,yolov8m,YOLOv8m,0.493417637,tile_skip,Tile skipping,18.221414735,6.170029126,,logs/yolov8_mot16/4070-laptop-yolov8m-full-r3/summary.json,logs/yolov8_mot16/4070-laptop-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,yolov8m,YOLOv8m,0.493417637,gather_scatter,Gather-scatter,17.207856474,6.170029126,,logs/yolov8_mot16/4070-laptop-yolov8m-full-r3/summary.json,logs/yolov8_mot16/4070-laptop-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,yolov8m,YOLOv8m,0.493417637,wiseconv,WISEConv,7.392252583,6.170029126,,logs/yolov8_mot16/4070-laptop-yolov8m-full-r3/summary.json,logs/yolov8_mot16/4070-laptop-yolov8m-full-r3/summary.json + logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,logs/yolov8_mot16/3080-v23-yolov8m-full-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,dynconv_pose,DynConv,0.155603885,dense,Dense,6.272635024,0.976046380,,logs/dynconv_pose/4070-laptop-full-s0125-r3/summary.json,logs/dynconv_pose/4070-laptop-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,dynconv_pose,DynConv,0.155603885,tile_skip,Tile skipping,6.678225200,0.976046380,,logs/dynconv_pose/4070-laptop-full-s0125-r3/summary.json,logs/dynconv_pose/4070-laptop-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,dynconv_pose,DynConv,0.155603885,gather_scatter,Gather-scatter,33.753900657,0.976046380,,logs/dynconv_pose/4070-laptop-full-s0125-r3/summary.json,logs/dynconv_pose/4070-laptop-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
4070-laptop,RTX 4070 Laptop,measured,dynconv_pose,DynConv,0.155603885,wiseconv,WISEConv,3.569667969,0.976046380,,logs/dynconv_pose/4070-laptop-full-s0125-r3/summary.json,logs/dynconv_pose/4070-laptop-full-s0125-r3/summary.json + logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,logs/dynconv_pose/3080-v23-full-s0125-r3-1800mhz/summary.json,
agx-orin,Jetson AGX Orin,measured,fireflownet,FireFlowNet,0.249227525,dense,Dense,12.465948386,3.106930460,0.262377730,logs/optical_flow/dense/agx-orin-30w-locked-energy-v4-full-r3/summary.json,logs/optical_flow/dense/agx-orin-30w-locked-energy-v4-full-r3/summary.json + logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/optical_flow/wiseconv/3080-v23-full-r3-1800mhz/summary.json,logs/nx_state/agx-orin-30w-locked-energy-v4/fireflownet-full-r3-energy-v4.per_backend_energy.json
